quadid,sentinelsite,tier3site,subsite,cellid,latitude,longitude,plot,plotsize,sampledate,samplemonth,sampleyear,biomass_gm,waterdepth,thatchheight,thatchdensity,pclive,pcdead,pcsoil,pclitter,pcaqveg,pcwater,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,bioCOUNT,gps_accuracy,biotypha_gm2,bioscac_gm2,totalbiomass_gm2,salinity,distance,pc_wrack,herbbio,deadherbbio,phaubio,deadphaubio,ivfrbio,deadivfrbio,biomassstd_gm2,culmdensity_m2,culmdensitystd_m2
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"9/1/2011",9,2011,303.3,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","152.01","64.00","12.12"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"9/1/2012",9,2012,171.97,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.43","57.67","5.86"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"11/1/2013",11,2013,165.12,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20.22","48.33","4.04"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"5/1/2013",5,2013,146.7,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.59","47.67","14.29"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"5/1/2014",5,2014,205.77,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24.24","59.67","10.97"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"7/1/2002",7,2002,192.15,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","104.93","46.67","12.50"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"1/1/2008",1,2008,134.93,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8.70","34.33","7.09"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"1/1/2009",1,2009,227.79,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8.10","47.33","5.69"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"1/1/2001",1,2001,330.83,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63.04","62.67","5.77"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"9/1/2005",9,2005,110.89,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28.19","29.67","10.02"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"5/1/2002",5,2002,151.51,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40.84","45.67","10.69"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"3/1/2008",3,2008,137.44,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11.73","41.33","10.69"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"9/1/2008",9,2008,158.34,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.22","38.00","5.00"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"7/1/2012",7,2012,221.93,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","35.31","61.33","13.58"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"3/1/2013",3,2013,146.98,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51.55","54.33","8.50"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"7/1/2008",7,2008,152.48,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24.87","43.00","7.81"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"1/1/2007",1,2007,145.4,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","39.17","36.33","9.02"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"5/1/2011",5,2011,157.74,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49.96","45.00","14.42"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"1/1/2010",1,2010,187.19,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24.31","32.33","4.73"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"7/1/2000",7,2000,253.1,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49.87","40.33","5.77"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"3/1/2004",3,2004,157.22,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38.35","47.00","11.53"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"7/1/2009",7,2009,175.27,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24.19","37.33","5.13"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"9/1/2004",9,2004,166.01,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.79","48.33","9.24"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"7/1/2003",7,2003,212.61,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","78.56","51.33","9.61"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"5/1/2012",5,2012,206.6,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.72","69.00","9.54"
"TS_Ph6b","Everglades","Everglades","NA",194175,25.21609,-80.65102,"NA",0,"3/1/2012",3,2012,255.48,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,21,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","44.46","79.67","7.64"
"6SS1","Everglades","Everglades","NA",211713,25.21875,-80.66361,"NA",0,"10/1/2015",10,2015,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"6SS1","Everglades","Everglades","NA",211713,25.21875,-80.66361,"NA",0,"10/1/2014",10,2014,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"1SS2","Everglades","Everglades","NA",281725,25.22992,-80.75526,"NA",0,"10/1/2014",10,2014,137.04,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63.33","19.33","8.33"
"1SS2","Everglades","Everglades","NA",281725,25.22992,-80.75526,"NA",0,"10/1/2015",10,2015,99.1,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25.44","14.33","2.08"
"2SS1","Everglades","Everglades","NA",291026,25.23095,-80.60323,"NA",0,"10/1/2014",10,2014,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"2SS1","Everglades","Everglades","NA",291026,25.23095,-80.60323,"NA",0,"10/1/2015",10,2015,17.94,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","31.08","2.67","4.62"
"6S","Everglades","Everglades","NA",292578,25.2312,-80.66447,"NA",0,"10/1/2015",10,2015,6.73,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9.64","1.00","1.00"
"6S","Everglades","Everglades","NA",292578,25.2312,-80.66447,"NA",0,"10/1/2014",10,2014,17.06,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15.16","2.00","2.00"
"1SS1","Everglades","Everglades","NA",346786,25.23978,-80.75078,"NA",0,"10/1/2014",10,2014,59.97,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","73.35","8.00","10.44"
"1SS1","Everglades","Everglades","NA",346786,25.23978,-80.75078,"NA",0,"10/1/2015",10,2015,111.49,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","90.33","17.67","14.01"
"2S","Everglades","Everglades","NA",356069,25.241,-80.60406,"NA",0,"10/1/2014",10,2014,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"2S","Everglades","Everglades","NA",356069,25.241,-80.60406,"NA",0,"10/1/2015",10,2015,4.6,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.97","1.33","2.31"
"4S","Everglades","Everglades","NA",393446,25.24611,-80.46731,"NA",0,"10/1/2015",10,2015,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"4S","Everglades","Everglades","NA",393446,25.24611,-80.46731,"NA",0,"10/1/2014",10,2014,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"1S","Everglades","Everglades","NA",425909,25.25206,-80.74712,"NA",0,"10/1/2015",10,2015,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"1S","Everglades","Everglades","NA",425909,25.25206,-80.74712,"NA",0,"10/1/2014",10,2014,0,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00","0.00","0.00"
"6N","Everglades","Everglades","NA",426174,25.25189,-80.66795,"NA",0,"10/1/2015",10,2015,48.03,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28.77","13.00","5.57"
"6N","Everglades","Everglades","NA",426174,25.25189,-80.66795,"NA",0,"10/1/2014",10,2014,19.45,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20.24","5.00","4.00"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2004",1,2004,187.05,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","46.31","60.00","8.66"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2005",1,2005,208.14,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17.26","53.33","8.33"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2003",11,2003,172.01,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28.09","55.33","7.37"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2009",11,2009,114.82,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12.21","37.33","7.09"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2011",11,2011,90.89,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16.97","33.00","7.55"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2000",11,2000,398.09,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","33.15","88.00","8.72"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2008",11,2008,156.88,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15.32","50.67","5.13"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2010",11,2010,117.16,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18.19","40.00","5.29"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/1999",11,1999,263.61,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","22.97","80.33","9.29"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2005",11,2005,183.29,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","44.98","59.67","10.79"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2003",1,2003,168.96,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.53","69.00","11.14"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2011",1,2011,126.69,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","22.19","43.33","8.74"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2000",1,2000,216.2,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.75","82.33","12.86"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"3/1/2002",3,2002,231.51,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12.00","83.33","4.93"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"3/1/2006",3,2006,165.6,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16.99","54.00","6.08"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"3/1/2001",3,2001,350.37,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27.47","108.00","2.00"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2000",5,2000,288.04,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","75.61","91.67","19.66"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2007",5,2007,121.2,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.52","50.67","3.21"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2008",5,2008,110.93,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10.16","45.00","6.56"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2009",5,2009,129.13,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20.18","54.67","4.51"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2004",5,2004,239.79,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","67.72","66.33","14.05"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2011",5,2011,122.68,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15.15","59.67","5.03"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2006",5,2006,189.53,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9.95","57.00","7.21"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"5/1/2001",5,2001,316.59,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37.91","110.00","4.36"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"7/1/2000",7,2000,379.74,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66.10","96.67","17.90"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"7/1/2007",7,2007,160.14,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12.49","60.00","5.29"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"7/1/2009",7,2009,137.33,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.67","53.67","2.08"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"7/1/2005",7,2005,158.06,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","32.00","50.67","8.08"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"7/1/2011",7,2011,113.6,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14.52","51.67","5.51"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"9/1/2000",9,2000,385.79,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","45.19","92.33","13.65"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"9/1/2007",9,2007,147.51,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13.01","47.67","5.51"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"9/1/2003",9,2003,189.04,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37.75","62.00","10.15"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"9/1/2004",9,2004,190.23,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","31.05","45.67","5.51"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2008",1,2008,146.34,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12.75","44.33","2.52"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2006",1,2006,192.85,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","47.66","52.33","5.77"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2012",1,2012,95.74,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.37","45.00","1.73"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"1/1/2002",1,2002,311.79,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27.67","93.67","7.51"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2006",11,2006,181.6,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16.54","45.33","2.89"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2012",11,2012,73.62,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4.84","27.33","1.53"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2001",11,2001,298.63,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.61","86.33","6.11"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2007",11,2007,162.3,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15.98","48.33","4.16"
"TS_Ph3","Everglades","Everglades","NA",429708,25.25241,-80.66272,"NA",0,"11/1/2002",11,2002,225.86,"0","0","NA","0","0",0,"NA","0","0","Cladium jamaicense",0,"NA",0,"NA",0,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37.86","70.67","8.62"
